# RELATÓRIOS ECONÔMICOS DOS ESTADOS UNIDOS

## VISÃO GERAL

Os dados econômicos dos EUA são os mais importantes do mundo para mercados globais, incluindo WDO e WIN. Abaixo está a lista completa organizada por categoria.

---

## 1. INFLAÇÃO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
**Divulgação:** Junto com Durable Goods
**Impacto:** ⚡⚡ ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Empresas investindo → economia forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Empresas segurando investimento | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

---

## 3.17 FACTORY ORDERS
**Fonte:** Census Bureau
**Divulgação:** ~Dia 3-6 do mês, 10h00 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Demanda industrial forte | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 5-15 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Demanda fraca | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 5-15 min |

---

## 3.18 BUSINESS INVENTORIES
**Fonte:** Census Bureau
**Divulgação:** ~Dia 14-17 do mês, 10h00 ET
**Impacto:** ⚡ BAIXO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Estoques subindo → pode indicar demanda fraca | ⚪ Misto | ⚪ Misto | ⚪ Misto | ⚪ Misto | 🐢 |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Estoques caindo → demanda consumindo | ⚪ Misto | ⚪ Misto | ⚪ Misto | ⚪ Misto | 🐢 |

---

## 3.19 LEADING ECONOMIC INDEX (LEI)
**Fonte:** Conference Board
**Divulgação:** ~Dia 20-22 do mês, 10h00 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Indicadores líderes melhorando | 🔵 COMPRA (leve) | 🔵 COMPRA | 🔵 COMPRA (leve) | 🔵 COMPRA | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso / Negativo por meses seguidos** | Sinal de recessão | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 5-20 min |

---

# 4. CONSUMO E VAREJO

## 4.1 RETAIL SALES
**Fonte:** Census Bureau
**Divulgação:** ~Dia 14-17 do mês, 8h30 ET
**Impacto:** ⚡⚡⚡ MUITO ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Consumidor gastando → economia forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 15-45 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Consumidor segurando → desaceleração | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 15-45 min |

### Observações do Scalper:
- **Core Retail Sales (ex-autos)** mais importante
- **Control Group** (ex-autos, gas, building materials, food) é o que vai pro PIB
- Consumo = ~70% do PIB dos EUA
- Revisões frequentes e significativas

---

## 4.2 CORE RETAIL SALES (ex-autos)
**Fonte:** Census Bureau
**Divulgação:** Junto com Retail Sales
**Impacto:** ⚡⚡⚡ MUITO ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Consumo core forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 15-45 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Consumo core fraco | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 15-45 min |

---

## 4.3 RETAIL SALES CONTROL GROUP
**Fonte:** Census Bureau
**Divulgação:** Junto com Retail Sales
**Impacto:** ⚡⚡⚡ MUITO ALTO (proxy direto do PCE)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Consumo real forte → vai pro PIB | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 15-45 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Consumo real fraco | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 15-45 min |

---

## 4.4 PERSONAL INCOME
**Fonte:** BEA
**Divulgação:** ~Dia 28-31 do mês, 8h30 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Renda crescendo → sustenta consumo | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Renda fraca → consumo pode cair | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

---

## 4.5 PERSONAL SPENDING (PCE)
**Fonte:** BEA
**Divulgação:** Junto com Personal Income
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Gastos fortes → economia aquecida | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Gastos fracos → desaceleração | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- Vem junto com PCE Price Index (inflação)
- Se Spending forte + PCE Price forte = muito hawkish
- Se Spending fraco + PCE Price fraco = muito dovish
- Real Personal Spending (ajustado inflação) é o mais importante

---

## 4.6 CONSUMER CONFIDENCE (Conference Board)
**Fonte:** Conference Board
**Divulgação:** Última terça-feira do mês, 10h00 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Consumidor otimista → vai gastar | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Consumidor pessimista → pode cortar gastos | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- Present Situation vs Expectations
- Expectations é leading indicator
- Labor Differential (jobs plentiful vs hard to get) muito olhado

---

## 4.7 MICHIGAN CONSUMER SENTIMENT
**Fonte:** University of Michigan
**Divulgação:** Preliminar ~dia 14, Final ~dia 28, 10h00 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Consumidor confiante | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Consumidor preocupado | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- Preliminar tem mais impacto que Final
- **Inflation Expectations** (1 ano e 5-10 anos) dentro do relatório são MUITO importantes
- Se Sentiment cai + Inflation Expectations sobem = estagflação fears

---

## 4.8 CONSUMER CREDIT
**Fonte:** Federal Reserve
**Divulgação:** ~Dia 7 do mês, 15h00 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Consumidor usando crédito → gastos fortes | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 5-15 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Consumidor segurando crédito | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 5-15 min |

---

## 4.9 VEHICLE SALES
**Fonte:** BEA/Automakers
**Divulgação:** ~Dia 1-3 do mês
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Consumo de bens duráveis forte | ⚪/🔵 leve | 🔵 COMPRA (leve) | ⚪/🔵 leve | 🔵 COMPRA (leve) | 5-15 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Consumo fraco | ⚪/🟠 leve | 🟠 VENDA (leve) | ⚪/🟠 leve | 🟠 VENDA (leve) | 5-15 min |

---

# 5. MERCADO IMOBILIÁRIO E CONSTRUÇÃO

## 5.1 HOUSING STARTS
**Fonte:** Census Bureau
**Divulgação:** ~Dia 17-20 do mês, 8h30 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Construção forte → economia aquecida | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Construção fraca → juros altos pesando | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- Muito sensível a taxas de juros
- Single-family starts mais importante que multi-family
- Se Housing forte com juros altos = economia muito resiliente

---

## 5.2 BUILDING PERMITS
**Fonte:** Census Bureau
**Divulgação:** Junto com Housing Starts
**Impacto:** ⚡⚡ MÉDIO-ALTO (leading indicator)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Pipeline de construção forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Construtoras segurando | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

---

## 5.3 EXISTING HOME SALES
**Fonte:** National Association of Realtors (NAR)
**Divulgação:** ~Dia 20-24 do mês, 10h00 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Mercado imobiliário aquecido | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Mercado imobiliário fraco | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- ~90% do mercado imobiliário são existing homes
- Median Price também é importante
- Inventory (meses de oferta) afeta perspectiva futura

---

## 5.4 NEW HOME SALES
**Fonte:** Census Bureau
**Divulgação:** ~Dia 23-27 do mês, 10h00 ET
**Impacto:** ⚡⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Demanda por novas casas forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-25 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Demanda fraca | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-25 min |

---

## 5.5 PENDING HOME SALES
**Fonte:** NAR
**Divulgação:** ~Dia 27-30 do mês, 10h00 ET
**Impacto:** ⚡ MÉDIO (leading indicator de Existing)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Pipeline de vendas forte | 🔵 COMPRA (l

## 5.5 PENDING HOME SALES
**Fonte:** NAR
**Divulgação:** ~Dia 27-30 do mês, 10h00 ET
**Impacto:** ⚡ MÉDIO (leading indicator de Existing Home Sales)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Pipeline de vendas forte → Existing vai subir | 🔵 COMPRA (leve) | 🔵 COMPRA | 🔵 COMPRA (leve) | 🔵 COMPRA | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Pipeline fraco → vendas vão cair | 🟠 VENDA (leve) | 🟠 VENDA | 🟠 VENDA (leve) | 🟠 VENDA | 5-20 min |

### Observações do Scalper:
- Contratos assinados, mas não fechados
- Antecipa Existing Home Sales em 1-2 meses
- Menos impacto que Existing/New Home Sales

---

## 5.6 CASE-SHILLER HOME PRICE INDEX
**Fonte:** S&P/Case-Shiller
**Divulgação:** Última terça-feira do mês, 9h00 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Preços de casas subindo → wealth effect / inflação shelter | 🔵 COMPRA (leve) | 🔵/⚪ Misto | 🔵 COMPRA (leve) | 🔵/⚪ Misto | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Preços caindo → menos wealth effect / desinflação shelter | 🟠 VENDA (leve) | 🟠/⚪ Misto | 🟠 VENDA (leve) | 🟠/⚪ Misto | 5-20 min |

### Observações do Scalper:
- 20-City Composite é o mais olhado
- Dado defasado (2 meses)
- Shelter é ~1/3 do CPI → preços de casas afetam inflação com lag
- MoM mais relevante que YoY para tendência

---

## 5.7 FHFA HOUSE PRICE INDEX
**Fonte:** Federal Housing Finance Agency
**Divulgação:** ~Dia 25-28 do mês, 9h00 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Preços subindo | ⚪/🔵 leve | ⚪/🔵 leve | ⚪/🔵 leve | ⚪/🔵 leve | 5-15 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Preços caindo | ⚪/🟠 leve | ⚪/🟠 leve | ⚪/🟠 leve | ⚪/🟠 leve | 5-15 min |

---

## 5.8 NAHB HOUSING MARKET INDEX
**Fonte:** National Association of Home Builders
**Divulgação:** ~Dia 15-18 do mês, 10h00 ET
**Impacto:** ⚡ MÉDIO (leading indicator)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Construtoras otimistas | 🔵 COMPRA (leve) | 🔵 COMPRA | 🔵 COMPRA (leve) | 🔵 COMPRA | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Construtoras pessimistas | 🟠 VENDA (leve) | 🟠 VENDA | 🟠 VENDA (leve) | 🟠 VENDA | 5-20 min |

### Observações do Scalper:
- 50 é a linha divisória (acima = otimismo, abaixo = pessimismo)
- Antecipa Housing Starts
- Sai antes de Housing Starts/Permits

---

## 5.9 CONSTRUCTION SPENDING
**Fonte:** Census Bureau
**Divulgação:** 1º dia útil do mês, 10h00 ET
**Impacto:** ⚡ BAIXO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Investimento em construção forte | ⚪/🔵 leve | ⚪/🔵 leve | ⚪/🔵 leve | ⚪/🔵 leve | 🐢 |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Investimento fraco | ⚪/🟠 leve | ⚪/🟠 leve | ⚪/🟠 leve | ⚪/🟠 leve | 🐢 |

---

## 5.10 MBA MORTGAGE APPLICATIONS
**Fonte:** Mortgage Bankers Association
**Divulgação:** Toda quarta-feira, 7h00 ET
**Impacto:** ⚡ BAIXO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Subindo forte** | Demanda por hipotecas aumentando | ⚪ | ⚪/🔵 leve | ⚪ | ⚪/🔵 leve | 🐢 |
| **Estável** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Caindo forte** | Demanda por hipotecas caindo | ⚪ | ⚪/🟠 leve | ⚪ | ⚪/🟠 leve | 🐢 |

### Observações do Scalper:
- Purchase Index vs Refinance Index
- Purchase é mais relevante para economia real
- Sai muito cedo (7h ET) – não opera no dado, usa para viés

---

# 6. SETOR EXTERNO E COMÉRCIO

## 6.1 TRADE BALANCE (Goods and Services)
**Fonte:** Census Bureau / BEA
**Divulgação:** ~Dia 3-7 do mês, 8h30 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Déficit MENOR que esperado** | Exportações fortes / importações fracas | 🔵 COMPRA | 🔵 COMPRA (leve) | 🔵 COMPRA | 🔵/⚪ Misto | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Déficit MAIOR que esperado** | Importações fortes / exportações fracas | 🟠 VENDA | 🟠 VENDA (leve) | 🟠 VENDA | 🟠/⚪ Misto | 10-30 min |

### Observações do Scalper:
- Déficit muito grande pode indicar consumo interno forte
- Afeta diretamente cálculo do PIB (Net Exports)
- Dado de goods sai antes (advance) → menos surpresa no cheio

---

## 6.2 ADVANCE GOODS TRADE BALANCE
**Fonte:** Census Bureau
**Divulgação:** ~Dia 27-29 do mês, 8h30 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Déficit MENOR que esperado** | Prévia de trade balance melhor | 🔵 COMPRA (leve) | ⚪/🔵 leve | 🔵 COMPRA (leve) | ⚪/🔵 leve | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Déficit MAIOR que esperado** | Prévia de trade balance pior | 🟠 VENDA (leve) | ⚪/🟠 leve | 🟠 VENDA (leve) | ⚪/🟠 leve | 5-20 min |

---

## 6.3 CURRENT ACCOUNT BALANCE
**Fonte:** BEA
**Divulgação:** Trimestral, ~3 meses após fim do trimestre
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Déficit MENOR que esperado** | Melhora nas contas externas | 🔵 COMPRA (leve) | ⚪ | 🔵 COMPRA (leve) | ⚪ | 5-15 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Déficit MAIOR que esperado** | Piora nas contas externas | 🟠 VENDA (leve) | ⚪ | 🟠 VENDA (leve) | ⚪ | 5-15 min |

---

## 6.4 TIC DATA (Treasury International Capital)
**Fonte:** Treasury
**Divulgação:** ~Dia 15-18 do mês, 16h00 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Net Foreign Purchases POSITIVO forte** | Estrangeiros comprando Treasuries/ativos | 🔵 COMPRA | 🔵 COMPRA (leve) | 🔵 COMPRA | 🔵 COMPRA (leve) | 5-20 min |
| **Net Foreign Purchases NEUTRO** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Net Foreign Purchases NEGATIVO** | Estrangeiros vendendo Treasuries | 🟠 VENDA | 🟠 VENDA (leve) | 🟠 VENDA | 🟠 VENDA (leve) | 5-20 min |

### Observações do Scalper:
- Olhar China e Japão (maiores detentores)
- Se China vendendo muito = geopolítico
- Sai 16h ET – após fechamento normal dos EUA

---

# 7. POLÍTICA MONETÁRIA E FEDERAL RESERVE

## 7.1 FOMC DECISION (Fed Funds Rate)
**Fonte:** Federal Reserve
**Divulgação:** 8x por ano, quarta-feira, 14h00 ET (15h00 BRT)
**Impacto:** ⚡⚡⚡ MÁXIMO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ALTA de juros (hawkish surprise)** | Fed mais agressivo que esperado | 🟢 COMPRA forte | 🔴 VENDA forte | 🟢 COMPRA forte | 🔴 VENDA forte | Horas/Dias |
| **Manutenção HAWKISH (tom duro)** | Fed segura mais tempo | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 30-120 min |
| **NA LINHA + tom neutro** | Sem surpresa | ⚪ NEUTRO inicial | ⚪ NEUTRO inicial | ⚪ NEUTRO inicial | ⚪ NEUTRO inicial | Ver Powell |
| **Manutenção DOVISH (tom suave)** | Fed sinalizando cortes | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 30-120 min |
| **CORTE de juros (dovish surprise)** | Fed cortando antes do esperado | 🔴 VENDA forte | 🟢 COMPRA forte | 🔴 VENDA forte | 🟢 COMPRA forte | Horas/Dias |

### Observações do Scalper:
- **Statement** é tão importante quanto a decisão
- Palavras-chave: "restrictive", "elevated", "progress", "confident", "patient"
- **Dot Plot** (SEP) sai em março, junho, setembro, dezembro → pode dominar reação
- **Coletiva de Powell** às 14h30 ET pode reverter movimento inicial
- Votos dissidentes importam (placar dividido = incerteza)

---

## 7.2 FOMC STATEMENT
**Fonte:** Federal Reserve
**Divulgação:** Junto com decisão
**Impacto:** ⚡⚡⚡ MÁXIMO

### Palavras-chave e suas interpretações:

| Palavra/Frase | Tom | Interpretação |
|---------------|-----|---------------|
| "Elevated inflation" | Hawkish | Inflação ainda preocupa |
| "Progress toward 2%" | Dovish | Inflação melhorando |
| "Sufficiently restrictive" | Neutro/Hawkish | Juros altos por enquanto |
| "Appropriate to maintain" | Neutro | Sem mudança à vista |
| "Prepared to adjust" | Dovish | Aberto a mudanças |
| "Attentive to risks on both sides" | Neutro | Balanceado |
| "Upside risks to inflation" | Hawkish | Preocupado com inflação subir |
| "Downside risks to employment" | Dovish | Preocupado com emprego |
| "Greater confidence" | Dovish | Mais confiante para cortar |

---

## 7.3 POWELL PRESS CONFERENCE
**Fonte:** Federal Reserve
**Divulgação:** 14h30 ET (15h30 BRT), após decisão
**Impacto:** ⚡⚡⚡ MÁXIMO (pode reverter tudo)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Tom mais HAWKISH que statement** | Surpresa negativa | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | Pode reverter tudo |
| **Tom em LINHA com statement** | Confirma | Mantém direção | Mantém direção | Mantém direção | Mantém direção | Continua |
| **Tom mais DOVISH que statement** | Surpresa positiva | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | Pode reverter tudo |

### Observações do Scalper:
- Q&A com jornalistas é onde sai a volatilidade
- Powell pode "desfazer" o statement com uma frase
- Fique atento a: "data dependent", "meeting by meeting", "not on autopilot"
- Movimento pode vir 20-30 min depois, em resposta específica

---

## 7.4 FOMC MINUTES
**Fonte:** Federal Reserve
**Divulgação:** 3 semanas após decisão, 14h00 ET
**Impacto:** ⚡⚡ ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Tom mais HAWKISH que decisão** | Fed mais preocupado que pareceu | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 15-45 min |
